id,title,links,event_date_utc
5f6fb2cfdcfdf403df37971e,Falcon reaches Earth orbit,http://www.spacex.com/news/2013/02/11/flight-4-launch-update-0,2008-09-28T23:15:00Z
5f6fb2efdcfdf403df37971f,Falcon delivers payload to orbit,http://www.spacex.com/news/2013/02/12/falcon-1-flight-5,2009-07-13T03:35:00Z
5f6fb312dcfdf403df379720,First successfull Dragon launch,http://www.bbc.com/news/10209704,2010-06-04T18:45:00Z
5f6fb326dcfdf403df379721,Dragon capsule births with ISS,http://www.cnn.com/2010/US/12/08/space.flight/index.html,2010-12-08T15:43:00Z
5f6fb343dcfdf403df379722,First Falcon 9 GTO mission,http://www.newspacejournal.com/2013/03/27/after-dragon-spacexs-focus-returns-to-falcon/,2013-12-03T22:41:00Z
5f6fb37ddcfdf403df379723,Successfull Falcon 9 landing,https://spaceflightnow.com/2015/12/22/round-trip-rocket-flight-gives-spacex-a-trifecta-of-successes/,2015-12-22T01:29:00Z
5f6fb391dcfdf403df379724,Successfull Falcon 9 droneship landing,https://spaceflightnow.com/2016/04/08/spacex-lands-rocket-on-floating-platform-after-station-resupply-launch/,2016-04-08T20:43:00Z
5f6fb3a7dcfdf403df379725,First Falcon 9 reflight,https://spaceflightnow.com/2017/03/31/spacex-flies-rocket-for-second-time-in-historic-test-of-cost-cutting-technology/,2017-03-30T22:27:00Z
5f6fb3b9dcfdf403df379726,Fairing recovered successfully,https://spaceflightnow.com/2017/03/31/spacex-flies-rocket-for-second-time-in-historic-test-of-cost-cutting-technology/,2017-03-30T22:27:00Z
5f6fb3cadcfdf403df379727,First Dragon reflight,https://spaceflightnow.com/2017/06/03/reused-dragon-cargo-capsule-launched-on-journey-to-space-station/,2017-06-03T21:07:00Z
5f6fb3e4dcfdf403df379728,First Falcon Heavy heliocentric mission,https://spaceflightnow.com/2018/02/07/spacex-debuts-worlds-most-powerful-rocket-sends-tesla-toward-the-asteroid-belt/,2018-02-06T20:45:00Z
5f6fb3f8dcfdf403df379729,Successfull Dragon 2 docking with ISS,https://spaceflightnow.com/2019/03/02/spacex-launches-first-crew-dragon-ferry-ship/,2019-03-02T07:45:00Z
5f6fb417dcfdf403df37972a,First flight of Raptor engine,,2019-07-25T00:00:00Z
5f6fb433dcfdf403df37972b,First Falcon 9 fairing reuse,,2020-09-03T12:46:00Z
5f6fb44ddcfdf403df37972c,SpaceX successfully launches humans to ISS,https://spaceflightnow.com/2020/05/30/nasa-astronauts-launch-from-us-soil-for-first-time-in-nine-years/,2020-05-30T19:22:00Z
